PLAYER,TEAM,DFGM,DFGA,DFG%,FG%,MIN,SCREEN ASSISTS,SCREEN ASSISTS PTS,DEFLECTIONS,OFF LOOSE BALLS RECOVERED,DEF LOOSE BALLS RECOVERED,LOOSE BALLS RECOVERED,RECOVERED OFF,RECOVERED DEF,CHARGES DRAWN,CONTESTED 2PT SHOTS,CONTESTED 3PT SHOTS,TOTAL CONTESTED SHOTS,DIST. FEET,FEET PER MIN,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
Brook Lopez,MIL,10.4,22.6,46,50.5,30.4,2.9,6.6,1,0.2,0.2,0.4,55.2,44.8,0,15.7,1.7,17.4,10983.4,361.30,2.08,1.11,0.97,3.86,4.13,3.6
Nikola Jokic,DEN,10.3,20.3,50.9,50.1,33.7,4.1,9.3,3.2,0.4,0.3,0.7,60,40,0.06,6.5,2,8.5,12119.4,359.63,2.3,1.25,1.05,3.84,4.21,3.47
Joel Embiid,PHI,9.2,19.2,47.8,49.6,34.6,2.3,5.1,1.5,0.6,0.3,0.9,61,39,0.03,8.5,1.7,10.2,11581.4,334.72,2.19,1.14,1.05,3.57,3.69,3.44
Domantas Sabonis,SAC,9.9,18.4,53.8,51.1,34.6,5.5,13.3,1.6,0.4,0.3,0.7,57.7,42.3,0.04,8.1,1.4,9.5,13837.7,399.93,2.62,1.37,1.25,4.25,4.58,3.93
Rudy Gobert,MIN,8.6,18.2,47.3,50,30.7,4.9,11.5,1.4,0.1,0.2,0.3,45.5,54.5,0.01,8.3,1.8,10.1,12019.8,391.52,2.28,1.2,1.08,4.16,4.42,3.9
Evan Mobley,CLE,8.4,17.9,47.1,48.7,34.4,2.7,6.1,1.8,0.4,0.3,0.7,55.6,44.4,0.01,7.8,3.6,11.3,13255.3,385.33,2.51,1.35,1.16,4.08,4.35,3.82
Ivica Zubac,LAC,8.3,17.7,47,50.6,28.5,4.3,9.5,0.7,0.2,0.3,0.5,43.6,56.4,0,9.2,2.2,11.4,10742,376.91,2.03,1.09,0.94,4.02,4.25,3.78
Kristaps Porzingis,WAS,7.7,17.6,44,49,32.6,2.8,6.1,1.3,0.2,0.2,0.5,50,50,0,8.6,2.7,11.3,11916.5,365.54,2.26,1.23,1.02,3.89,4.13,3.63
Anthony Davis,LAL,7.9,17.3,45.6,50.4,34,3.2,7.1,2.1,0.5,0.6,1,45.6,54.4,0.04,8.1,2.5,10.6,11974.9,352.20,2.27,1.21,1.05,3.76,4.03,3.49
Myles Turner,IND,8.5,17.1,49.7,50.5,29.4,3.5,7.9,1.3,0.3,0.1,0.4,65.4,34.6,0,9,1.7,10.8,11168.6,379.88,2.12,1.11,1,4.04,4.36,3.73
RaiQuan Gray,BKN,8,17,47.1,51.8,35.1,5,12,1,0,0,0,0,0,0,7,2,9,13226,376.81,2.5,1.31,1.2,3.94,4.43,3.53
Nikola Vucevic,CHI,8.9,17,52.7,50.8,33.5,4.2,9,2,0.3,0.2,0.5,51.2,48.8,0.01,6,2.2,8.2,12063.1,360.09,2.28,1.19,1.1,3.85,4.07,3.63
Al Horford,BOS,7.4,16.4,45.3,48.6,30.5,1.9,4.4,1.2,0.3,0.2,0.5,65.5,34.5,0,6.5,3.6,10.1,11245.7,368.71,2.13,1.13,1,3.93,4.2,3.67
Jusuf Nurkic,POR,8.3,16.2,50.9,51,26.8,4.4,10.9,2,0.3,0.3,0.6,56.7,43.3,0.02,7.7,1.2,8.9,9723.1,362.80,1.84,0.99,0.85,3.87,4.12,3.62
Jarrett Allen,CLE,7.6,16,47.3,49.5,32.6,3.8,9,1.5,0.5,0.3,0.8,59.6,40.4,0.06,8.6,2.6,11.1,12050.9,369.66,2.28,1.2,1.08,3.92,4.04,3.79
Nic Claxton,BKN,7.2,15.9,44.9,49.4,29.9,3.6,8.3,2.3,0.2,0.2,0.5,50,50,0,9.2,2.9,12.1,11869.8,396.98,2.25,1.17,1.08,4.24,4.5,3.99
Jakob Poeltl,TOR,8.2,15.8,52.2,49.9,26.5,3.5,7.6,2,0.2,0.3,0.5,39.4,60.6,0.04,7.7,1.7,9.3,10790.5,407.19,2.04,1.1,0.95,4.35,4.68,4.02
Cade Cunningham,DET,6.7,15.5,43,47.9,33.3,0.4,0.8,2,0.3,0.5,0.8,40,60,0,3.5,3.3,6.8,13146.8,394.80,2.49,1.39,1.1,4.18,4.67,3.67
Alperen Sengun,HOU,7.8,15.4,50.4,50,28.9,3.4,7.7,1.8,0.3,0.2,0.6,59.5,40.5,0.12,6.7,1.7,8.4,10442.8,361.34,1.98,1.05,0.92,3.85,3.92,3.77
Kelly Olynyk,UTA,7.7,15.3,49.9,48.9,28.6,1.6,3.8,1.9,0.2,0.3,0.5,41.9,58.1,0.18,4.4,2.5,6.9,10977.1,383.81,2.08,1.15,0.92,4.07,4.5,3.64
Wendell Carter Jr.,ORL,7.8,15.3,51.1,49.4,29.6,3.8,8.3,1.1,0.3,0.2,0.5,56.7,43.3,0,5.3,2.4,7.7,10757.3,363.42,2.04,1.08,0.96,3.86,4.17,3.56
Draymond Green,GSW,6.6,15.2,43.2,48.8,31.5,3.2,8.3,2.8,0.2,0.2,0.5,48.5,51.5,0.18,6.8,3.2,10.1,11521,365.75,2.18,1.16,1.02,3.89,4.29,3.51
Fred VanVleet,TOR,7.5,15.1,49.7,47.2,36.7,0.4,0.9,3.8,0.3,0.7,0.9,29.7,70.3,0.01,1.6,2.6,4.1,14509.8,395.36,2.75,1.54,1.21,4.18,4.67,3.68
Scottie Barnes,TOR,7.6,14.9,50.9,48.3,34.8,1.1,2.5,1.9,0.4,0.3,0.7,55.6,44.4,0.01,4.2,2.7,6.9,13943.2,400.67,2.64,1.41,1.23,4.25,4.58,3.92
Deandre Ayton,PHX,7.1,14.9,47.7,50.3,30.4,4.5,9.7,1.1,0.2,0.2,0.4,57.1,42.9,0,7.5,2.1,9.6,10978.6,361.14,2.08,1.12,0.96,3.85,4.1,3.6
Kevin Porter Jr.,HOU,7.4,14.8,49.9,46.7,34.3,0.1,0.1,2.4,0.4,0.4,0.8,53.3,46.7,0.05,1.8,3.1,5,13297,387.67,2.52,1.37,1.15,4.11,4.31,3.9
Kevin Durant,PHX,6.3,14.8,42.2,47.8,35.6,0.5,1,1.3,0.5,0.2,0.7,67.7,32.3,0,5.2,3,8.2,12297.8,345.44,2.33,1.25,1.08,3.69,3.98,3.39
Mikal Bridges,BKN,6.8,14.7,46.1,47.6,35.7,0.3,0.6,2,0.3,0.3,0.6,52.8,47.2,0,3.2,2.2,5.3,14247.8,399.10,2.7,1.46,1.24,4.25,4.55,3.93
Clint Capela,ATL,7.5,14.7,50.9,50.3,26.6,4.5,9.7,1.1,0.3,0.2,0.5,61.8,38.2,0.25,7.6,1.6,9.2,10098.6,379.65,1.91,1,0.92,4.03,4.23,3.84
Isaiah Stewart,DET,7.2,14.7,48.8,48.8,28.3,2.5,5.8,0.7,0.4,0.1,0.5,76,24,0,7.2,3.6,10.8,10830.6,382.71,2.05,1.09,0.96,4.07,4.31,3.83
Jabari Smith Jr.,HOU,7.2,14.7,49.1,48.1,31,0.5,1.3,1.6,0.3,0.2,0.5,65.8,34.2,0,4.4,3.3,7.7,11904.5,384.02,2.25,1.22,1.03,4.08,4.29,3.86
Shai Gilgeous-Alexander,OKC,6.7,14.7,46,46.9,35.5,0.4,0.9,3.6,0.5,0.6,1,45.1,54.9,0,3.6,3.3,6.9,13400,377.46,2.54,1.37,1.16,3.99,4.49,3.53
Walker Kessler,UTA,7,14.6,47.5,49.9,23,2.7,6.6,0.8,0.3,0.1,0.4,70,30,0,9.3,1.6,10.8,9319.7,405.20,1.77,0.95,0.81,4.28,4.54,4.02
Luka Doncic,DAL,7,14.5,48,47.4,36.2,0.1,0.2,2.9,0.5,0.4,0.8,53.6,46.4,0.06,2.6,2.4,5,12461.6,344.24,2.36,1.34,1.02,3.65,4.04,3.24
Zach Collins,SAS,7.3,14.5,50.2,50.6,22.9,3.3,7.2,0.9,0.2,0.2,0.4,50,50,0.06,8.7,1.5,10.2,8779.4,383.38,1.66,0.9,0.77,4.05,4.39,3.71
Kevon Looney,GSW,6.9,14.4,48,49.7,23.9,3.7,9.4,1.1,0.1,0.2,0.3,42.3,57.7,0,7,2.4,9.4,8999.1,376.53,1.7,0.88,0.82,4.02,4.2,3.84
Buddy Hield,IND,6.8,14.4,47.5,47.1,31,0.5,1,2.1,0.4,0.4,0.8,50.7,49.3,0,2.8,2.8,5.5,13062.4,421.37,2.47,1.35,1.13,4.47,5,3.97
Bam Adebayo,MIA,7,14.4,48.7,49.4,34.6,4.4,10.4,1.8,0.4,0.2,0.7,64.7,35.3,0.03,5.2,2.3,7.4,12940.8,374.01,2.45,1.31,1.14,3.97,4.25,3.69
Julius Randle,NYK,6.9,14.3,48.6,47.6,35.5,0.8,1.9,1.3,0.6,0.3,0.8,68.9,31.1,0,3,2.8,5.8,13161.5,370.75,2.49,1.38,1.11,3.92,4.19,3.63
Steven Adams,MEM,6.3,14.2,44.3,50.6,27,5.6,12.6,1.6,0.6,0.2,0.8,75.8,24.2,0.02,7.1,1.7,8.8,10210.8,378.18,1.93,1.01,0.92,4.02,4.19,3.85
Pascal Siakam,TOR,7.1,14.2,50.3,48.2,37.4,0.8,2,2.1,0.4,0.4,0.8,53.6,46.4,0.03,3.5,2.9,6.4,14312,382.67,2.71,1.48,1.23,4.07,4.49,3.65
Jaren Jackson Jr.,MEM,6.3,14.1,44.4,49.2,28.4,1.4,3.1,2,0.3,0.4,0.8,42.6,57.4,0,8.5,2.4,10.8,11183.1,393.77,2.12,1.09,1.02,4.17,4.44,3.91
Mason Plumlee,LAC,7.2,14.1,51.2,50,26,3.7,8.3,1.5,0.4,0.2,0.6,70.2,29.8,0.01,4.6,1.4,6,10402.3,400.09,1.97,1.06,0.91,4.26,4.6,3.92
Anfernee Simons,POR,6.9,14,49,47.2,35,0.2,0.6,1.6,0.2,0.3,0.4,40.7,59.3,0.03,2.4,2.2,4.6,13611.3,388.89,2.58,1.44,1.14,4.13,4.52,3.72
John Collins,ATL,6.9,13.9,49.8,48.4,30,1.5,3.4,0.9,0.3,0.2,0.5,52.9,47.1,0.2,5.2,3.6,8.8,11449.7,381.66,2.17,1.13,1.03,4.07,4.31,3.84
